"연령별",2024,2024,2024
"연령별",전체,남자,여자
"연령별",중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)
"계",51751065,25876776,25874289
"0 - 4세",1296661,663673,632988
"5 - 9세",1914933,981805,933128
"10 - 14세",2273651,1167483,1106168
"15 - 19세",2272843,1171771,1101072
"20 - 24세",2838789,1486372,1352417
"25 - 29세",3533643,1878599,1655044
"30 - 34세",3615767,1938196,1677571
"35 - 39세",3297256,1731341,1565915
"40 - 44세",4023556,2069513,1954043
"45 - 49세",3828741,1947890,1880851
"50 - 54세",4459873,2252613,2207260
"55 - 59세",4246026,2117431,2128595
"60 - 64세",4211091,2082774,2128317
"65 - 69세",3509250,1700794,1808456
"70 - 74세",2322783,1087769,1235014
"75 - 79세",1723662,768879,954783
"80 - 84세",1322888,518803,804085
"85 - 89세",737630,238467,499163
"90 - 94세",258561,61639,196922
"95 - 99세",56005,9811,46194
