"시점",중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)
"시점",총인구(명),인구(명): 0-14세,인구(명): 65세 이상
"1990",42869283,10973592,2195084
"1991",43295704,10858720,2266441
"1992",43747962,10791426,2345856
"1993",44194628,10734528,2436993
"1994",44641540,10653446,2542492
"1995",45092991,10536828,2656652
"1996",45524681,10403277,2794882
"1997",45953580,10233102,2929311
"1998",46286503,10091517,3069053
"1999",46616677,9972894,3223576
"2000",47008111,9911229,3394896
"2001",47370164,9852452,3570925
"2002",47644736,9732348,3756945
"2003",47892330,9584906,3939864
"2004",48082519,9430513,4130303
"2005",48184561,9223260,4320787
"2006",48438292,8979585,4525814
"2007",48683638,8714382,4760676
"2008",49054708,8478823,4988592
"2009",49307835,8229264,5176886
"2010",49554112,7979439,5366109
"2011",49936638,7771460,5515179
"2012",50199853,7577231,5766729
"2013",50428893,7392237,6022659
"2014",50746659,7213693,6277126
"2015",51014947,7029883,6541168
"2016",51217803,6864563,6757083
"2017",51361911,6724283,7066060
"2018",51585058,6595054,7366085
"2019",51764822,6448080,7688994
"2020",51836239,6305870,8151867
"2021",51769539,6148341,8569865
"2022",51672569,5947964,8981133
"2023",51712619,5705235,9435816
"2024",51751065,5485245,9938235
"2025",51684564,5258466,10513907
"2026",51609121,4996251,11125016
"2027",51534551,4753757,11597067
"2028",51459877,4530789,12125349
"2029",51384052,4345056,12521322
"2030",51305713,4159934,12980219
"2031",51223269,3993899,13417660
"2032",51135265,3876887,13832534
"2033",51040632,3801329,14259858
"2034",50937726,3755890,14763385
"2035",50824868,3739052,15208221
"2036",50701389,3743345,15674083
"2037",50567057,3763572,16091402
"2038",50417167,3794900,16491853
"2039",50247657,3834032,16862009
"2040",50059218,3878751,17151313
"2041",49851637,3918699,17387512
"2042",49625415,3944160,17592518
"2043",49380766,3956476,17792406
"2044",49117432,3956797,17987117
"2045",48835031,3946176,18235107
"2046",48532231,3925472,18469254
"2047",48208374,3895330,18689012
"2048",47863071,3856154,18839313
"2049",47495914,3808132,18906673
"2050",47106960,3751268,18907853
